央视频道,#genre#
宁夏卫视,http://223.110.243.220/PLTV/3/224/3221227563/index.m3u8
西藏卫视,http://223.110.243.219/PLTV/3/224/3221227562/index.m3u8
贵州卫视,http://223.110.243.224/PLTV/3/224/3221227551/index.m3u8
河南卫视,http://223.110.243.136/PLTV/3/224/3221227521/index.m3u8
辽宁卫视,http://183.207.248.7/PLTV/3/224/3221225566/index.m3u8
陕西卫视,http://223.110.243.222/PLTV/3/224/3221227583/index.m3u8
青海卫视,http://223.110.243.214/PLTV/3/224/3221227554/index.m3u8
上海纪实人文,http://223.110.243.222/PLTV/3/224/3221227635/index.m3u8
兵团卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/bttv
甘肃卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/gstv
贵州卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/gztv
湖北卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/hbtv
河南卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/hntv
江西卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/jxtv
吉林卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/jltv
内蒙古卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/nmtv
新疆卫视,http://ivi.bupt.edu.cn/hls/xjtv.m3u8
山东卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/sdtv
山西卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/sxrtv
网络频道,#genre#
古装剧场,http://223.110.243.214/PLTV/3/224/3221227542/index.m3u8
军旅剧场,http://223.110.243.218/PLTV/3/224/3221227603/index.m3u8
世界搏击,http://223.110.243.211/PLTV/3/224/3221227533/index.m3u8
动作电影,http://223.110.243.220/PLTV/3/224/3221227606/index.m3u8
家庭剧场,http://223.110.243.211/PLTV/3/224/3221227600/index.m3u8
惊悚电影,http://223.110.243.221/PLTV/3/224/3221227536/index.m3u8
精品体育,http://223.110.243.208/PLTV/3/224/3221227615/index.m3u8
精品大剧,http://223.110.243.217/PLTV/3/224/3221227618/index.m3u8
精品纪实,http://223.110.243.209/PLTV/3/224/3221227547/index.m3u8
精品综艺,http://223.110.243.223/PLTV/3/224/3221227541/index.m3u8
中国功夫,http://223.110.243.210/PLTV/3/224/3221227530/index.m3u8
黑莓电竞,http://183.207.248.6/PLTV/3/224/3221225539/index.m3u8
黑莓电影,http://223.110.243.170/PLTV/3/224/3221227520/index.m3u8
金牌综艺,http://223.110.243.223/PLTV/3/224/3221227541/index.m3u8
中华美食,http://223.110.243.197/PLTV/3/224/3221227647/index.m3u8
军事评论,http://223.110.243.217/PLTV/3/224/3221227544/index.m3u8
CHC高清电影,rtmp://ivi.bupt.edu.cn:1935/livetv/chchd
CHC家庭影院,rtmp://ivi.bupt.edu.cn:1935/livetv/chctv
CHC动作电影,rtmp://ivi.bupt.edu.cn:1935/livetv/chcatv
CETV-1,rtmp://ivi.bupt.edu.cn:1935/livetv/cetv1
CETV-3,rtmp://ivi.bupt.edu.cn:1935/livetv/cetv3
CETV-4,rtmp://ivi.bupt.edu.cn:1935/livetv/cetv4
CCTV-第一剧场,rtmp://ivi.bupt.edu.cn:1935/livetv/dyjctv
CCTV-国防军事,rtmp://ivi.bupt.edu.cn:1935/livetv/gfjstv
CCTV-怀旧剧场,rtmp://ivi.bupt.edu.cn:1935/livetv/hjjctv
SiTV东方影视,http://39.134.39.39/PLTV/88888888/224/3221226189/index.m3u8
NewTV精品大剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225714/index.m3u8
NewTV超级体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225648/index.m3u8
NewTV农业致富,http://39.135.138.60:18890/PLTV/88888910/224/3221225670/index.m3u8
NewTV超级综艺,http://39.135.138.60:18890/PLTV/88888910/224/3221225768/index.m3u8
NewTV超级电影,http://39.135.138.60:18890/PLTV/88888910/224/3221225766/index.m3u8
NewTV爱情喜剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225748/index.m3u8
Bravo Inc.,http://39.135.138.60:18890/PLTV/88888910/224/3221225708/index.m3u8
SiTV都市剧场,http://39.134.39.39/PLTV/88888888/224/3221226176/index.m3u8
NewTV家庭剧场,http://39.135.138.60:18890/PLTV/88888910/224/3221225713/index.m3u8
海外频道,#genre#
凤凰卫视中文台,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
凤凰卫视中文台,http://223.110.241.131:6610/cntv/live1/HD-2500k-1080P-fhzixun/HD-2500k-1080P-fhzixun
凤凰卫视中文台,http://117.169.124.37:6610/ysten-businessmobile/live/fhchinese/1.m3u8
国家地理频道,rtmp://ivi.bupt.edu.cn:1935/livetv/natlgeo
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=188
TVBS,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
凤凰卫视电影台,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
凤凰卫视资讯台,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
凤凰卫视资讯台,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
港台31频道,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
香港开电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8
